group_image,individual_image,px_to_cm
A00000051616,beetle_172.png,292
A00000051616,beetle_591.png,292
A00000051616,beetle_522.png,292
A00000051616,beetle_171.png,292
A00000051616,beetle_539.png,292
A00000051616,beetle_375.png,292
A00000051616,beetle_581.png,292
A00000051616,beetle_514.png,292
A00000051616,beetle_540.png,292
A00000051616,beetle_242.png,292
A00000051616,beetle_524.png,292
A00000051616,beetle_372.png,292
A00000051616,beetle_347.png,292
A00000051616,beetle_450.png,292
A00000051616,beetle_577.png,292
A00000051616,beetle_259.png,292
A00000051616,beetle_233.png,292
A00000051616,beetle_586.png,292
A00000051616,beetle_170.png,292
A00000051616,beetle_243.png,292
A00000051616,beetle_370.png,292
A00000051616,beetle_447.png,292
A00000040730,beetle_143.png,336
A00000040730,beetle_121.png,336
A00000040730,beetle_246.png,336
A00000040730,beetle_240.png,336
A00000040730,beetle_151.png,336
A00000040730,beetle_65.png,336
A00000040730,beetle_142.png,336
A00000040730,beetle_146.png,336
A00000040730,beetle_80.png,336
A00000040730,beetle_74.png,336
A00000040730,beetle_225.png,336
A00000040730,beetle_242.png,336
A00000040730,beetle_238.png,336
A00000040730,beetle_234.png,336
A00000040730,beetle_79.png,336
A00000040730,beetle_164.png,336
A00000040730,beetle_96.png,336
A00000034540,beetle_395.png,219
A00000034540,beetle_120.png,219
A00000034540,beetle_400.png,219
A00000034540,beetle_401.png,219
A00000034540,beetle_267.png,219
A00000034540,beetle_104.png,219
A00000034540,beetle_93.png,219
A00000034540,beetle_449.png,219
A00000034540,beetle_92.png,219
A00000034540,beetle_111.png,219
A00000034540,beetle_246.png,219
A00000034540,beetle_265.png,219
A00000034540,beetle_97.png,219
A00000034540,beetle_115.png,219
A00000034540,beetle_403.png,219
A00000034540,beetle_117.png,219
A00000034540,beetle_245.png,219
A00000034540,beetle_446.png,219
A00000034540,beetle_396.png,219
A00000034540,beetle_399.png,219
A00000034540,beetle_231.png,219
A00000034540,beetle_249.png,219
A00000034540,beetle_260.png,219
A00000034540,beetle_384.png,219
A00000034540,beetle_397.png,219
A00000034540,beetle_484.png,219
A00000034540,beetle_233.png,219
A00000034540,beetle_241.png,219
A00000034540,beetle_382.png,219
A00000034540,beetle_483.png,219
A00000051182,beetle_707.png,265
A00000051182,beetle_958.png,265
A00000051182,beetle_959.png,265
A00000051182,beetle_703.png,265
A00000051182,beetle_175.png,265
A00000051182,beetle_702.png,265
A00000051182,beetle_956.png,265
A00000051182,beetle_171.png,265
A00000051182,beetle_957.png,265
A00000051182,beetle_706.png,265
A00000051182,beetle_705.png,265
A00000051533,beetle_357.png,247
A00000051533,beetle_251.png,247
A00000051533,beetle_235.png,247
A00000051533,beetle_263.png,247
A00000051533,beetle_337.png,247
A00000051533,beetle_341.png,247
A00000051533,beetle_353.png,247
A00000051533,beetle_290.png,247
A00000051533,beetle_344.png,247
A00000051592,beetle_352.png,226
A00000051592,beetle_161.png,226
A00000051592,beetle_135.png,226
A00000051592,beetle_368.png,226
A00000051592,beetle_330.png,226
A00000051592,beetle_342.png,226
A00000051592,beetle_572.png,226
A00000051592,beetle_582.png,226
A00000051592,beetle_570.png,226
A00000051592,beetle_573.png,226
A00000051592,beetle_157.png,226
A00000051592,beetle_566.png,226
A00000049769,beetle_40.png,244
A00000049769,beetle_431.png,244
A00000049769,beetle_71.png,244
A00000049769,beetle_616.png,244
A00000049769,beetle_212.png,244
A00000049769,beetle_235.png,244
A00000049769,beetle_443.png,244
A00000049769,beetle_444.png,244
A00000049769,beetle_239.png,244
A00000049769,beetle_426.png,244
A00000049769,beetle_230.png,244
A00000049769,beetle_58.png,244
A00000049769,beetle_667.png,244
A00000049769,beetle_76.png,244
A00000049769,beetle_653.png,244
A00000049769,beetle_666.png,244
A00000049769,beetle_45.png,244
A00000049769,beetle_442.png,244
A00000049769,beetle_243.png,244
A00000049769,beetle_197.png,244
A00000049769,beetle_438.png,244
A00000012961,beetle_113.png,227
A00000012961,beetle_444.png,227
A00000012961,beetle_179.png,227
A00000012961,beetle_680.png,227
A00000012961,beetle_723.png,227
A00000012961,beetle_221.png,227
A00000012961,beetle_228.png,227
A00000012961,beetle_230.png,227
A00000012961,beetle_677.png,227
A00000012961,beetle_434.png,227
A00000012961,beetle_432.png,227
A00000012961,beetle_428.png,227
A00000012961,beetle_668.png,227
A00000012961,beetle_439.png,227
A00000012961,beetle_679.png,227
A00000012961,beetle_164.png,227
A00000012961,beetle_724.png,227
A00000012961,beetle_447.png,227
A00000040691,beetle_352.png,240
A00000040691,beetle_350.png,240
A00000040691,beetle_351.png,240
A00000040691,beetle_448.png,240
A00000040691,beetle_343.png,240
A00000040691,beetle_386.png,240
A00000040691,beetle_390.png,240
A00000040691,beetle_348.png,240
A00000040691,beetle_347.png,240
A00000040691,beetle_254.png,240
A00000040691,beetle_356.png,240
A00000051621,beetle_596.png,442
A00000051621,beetle_595.png,442
A00000051621,beetle_557.png,442
A00000051621,beetle_270.png,442
A00000051621,beetle_515.png,442
A00000051621,beetle_268.png,442
A00000051621,beetle_265.png,442
A00000051621,beetle_511.png,442
A00000051621,beetle_558.png,442
A00000051621,beetle_516.png,442
A00000051621,beetle_507.png,442
A00000051621,beetle_524.png,442
A00000051621,beetle_494.png,442
A00000051621,beetle_86.png,442
A00000051621,beetle_88.png,442
A00000051621,beetle_258.png,442
A00000051621,beetle_96.png,442
A00000050029,beetle_305.png,380
A00000050029,beetle_738.png,380
A00000050029,beetle_770.png,380
A00000050029,beetle_779.png,380
A00000050029,beetle_760.png,380
A00000050029,beetle_766.png,380
A00000050029,beetle_877.png,380
A00000050029,beetle_337.png,380
A00000050029,beetle_539.png,380
A00000050029,beetle_278.png,380
A00000050029,beetle_762.png,380
A00000050029,beetle_364.png,380
A00000050029,beetle_344.png,380
A00000069246,beetle_395.png,280
A00000069246,beetle_643.png,280
A00000069246,beetle_420.png,280
A00000069246,beetle_358.png,280
A00000069246,beetle_807.png,280
A00000069246,beetle_911.png,280
A00000069246,beetle_812.png,280
A00000069246,beetle_909.png,280
A00000069246,beetle_550.png,280
A00000069246,beetle_808.png,280
A00000069246,beetle_412.png,280
A00000069246,beetle_106.png,280
A00000069246,beetle_422.png,280
A00000069246,beetle_645.png,280
A00000069246,beetle_811.png,280
A00000069246,beetle_644.png,280
A00000069246,beetle_642.png,280
A00000069246,beetle_404.png,280
A00000069246,beetle_78.png,280
A00000069246,beetle_414.png,280
A00000069246,beetle_84.png,280
A00000069246,beetle_646.png,280
A00000069246,beetle_419.png,280
A00000069246,beetle_800.png,280
A00000069246,beetle_803.png,280
A00000069246,beetle_640.png,280
A00000069246,beetle_910.png,280
A00000069246,beetle_912.png,280
A00000069246,beetle_409.png,280
A00000069246,beetle_793.png,280
A00000069246,beetle_906.png,280
A00000069246,beetle_627.png,280
A00000069246,beetle_908.png,280
A00000069246,beetle_635.png,280
A00000069246,beetle_772.png,280
A00000069246,beetle_799.png,280
A00000012436,beetle_541.png,254
A00000012436,beetle_537.png,254
A00000012436,beetle_538.png,254
A00000012436,beetle_535.png,254
A00000012436,beetle_1257.png,254
A00000012436,beetle_539.png,254
A00000012436,beetle_1254.png,254
A00000012436,beetle_532.png,254
A00000012436,beetle_1256.png,254
A00000012436,beetle_1255.png,254
A00000051617,beetle_59.png,334
A00000051617,beetle_150.png,334
A00000051617,beetle_57.png,334
A00000051617,beetle_129.png,334
A00000051617,beetle_336.png,334
A00000051617,beetle_145.png,334
A00000051617,beetle_206.png,334
A00000051617,beetle_256.png,334
A00000051617,beetle_329.png,334
A00000051617,beetle_244.png,334
A00000051617,beetle_152.png,334
A00000051617,beetle_342.png,334
A00000051617,beetle_52.png,334
A00000051617,beetle_337.png,334
A00000051617,beetle_338.png,334
A00000051617,beetle_58.png,334
A00000051617,beetle_341.png,334
A00000051617,beetle_249.png,334
A00000051617,beetle_130.png,334
A00000051617,beetle_255.png,334
A00000040692,beetle_314.png,240
A00000040692,beetle_315.png,240
A00000040692,beetle_316.png,240
A00000040692,beetle_539.png,240
