group_image,individual_image,px_to_cm
A00000046154,beetle_107.png,271
A00000046154,beetle_282.png,271
A00000046154,beetle_571.png,271
A00000046154,beetle_269.png,271
A00000034570,beetle_237.png,444
A00000034570,beetle_190.png,444
A00000034570,beetle_222.png,444
A00000034570,beetle_225.png,444
A00000034570,beetle_214.png,444
A00000008920,beetle_305.png,240
A00000008920,beetle_183.png,240
A00000008920,beetle_595.png,240
A00000008920,beetle_310.png,240
A00000008920,beetle_459.png,240
A00000033588,beetle_167.png,325
A00000033588,beetle_400.png,325
A00000033588,beetle_251.png,325
A00000033588,beetle_420.png,325
A00000033588,beetle_282.png,325
A00000059783,beetle_521.png,271
A00000059783,beetle_687.png,271
A00000059783,beetle_695.png,271
A00000059783,beetle_239.png,271
A00000059783,beetle_723.png,271
A00000050033,beetle_351.png,273
A00000050033,beetle_565.png,273
A00000050033,beetle_557.png,273
A00000050033,beetle_239.png,273
A00000050033,beetle_355.png,273
A00000046124,beetle_791.png,247
A00000046124,beetle_1144.png,247
A00000046124,beetle_784.png,247
A00000046124,beetle_1182.png,247
A00000046124,beetle_429.png,247
A00000041436,beetle_378.png,261
A00000041436,beetle_521.png,261
A00000041436,beetle_554.png,261
A00000041436,beetle_51.png,261
A00000041436,beetle_387.png,261
A00000033691,beetle_71.png,422
A00000033691,beetle_87.png,422
A00000033691,beetle_270.png,422
A00000033691,beetle_67.png,422
A00000033691,beetle_265.png,422
A00000044566,beetle_503.png,285
A00000044566,beetle_504.png,285
A00000044566,beetle_67.png,285
A00000044566,beetle_246.png,285
A00000044566,beetle_239.png,285
A00000012923,beetle_59.png,228
A00000012923,beetle_798.png,228
A00000012923,beetle_73.png,228
A00000012923,beetle_71.png,228
A00000012923,beetle_312.png,228
A00000051554,beetle_167.png,258
A00000051554,beetle_456.png,258
A00000051554,beetle_523.png,258
A00000051554,beetle_588.png,258
A00000051554,beetle_798.png,258
A00000056860,beetle_2011.png,261
A00000056860,beetle_909.png,261
A00000056860,beetle_2034.png,261
A00000056860,beetle_1450.png,261
A00000056860,beetle_1439.png,261
A00000033669,beetle_158.png,355
A00000033669,beetle_487.png,355
A00000033669,beetle_227.png,355
A00000033669,beetle_226.png,355
A00000033669,beetle_105.png,355
A00000056858,beetle_158.png,310
A00000056858,beetle_300.png,310
A00000056858,beetle_306.png,310
A00000056858,beetle_135.png,310
A00000056858,beetle_387.png,310
A00000008918,beetle_733.png,412
A00000008918,beetle_401.png,412
A00000008918,beetle_589.png,412
A00000008918,beetle_579.png,412
A00000008918,beetle_404.png,412
A00000050024,beetle_839.png,355
A00000050024,beetle_1205.png,355
A00000050024,beetle_980.png,355
A00000050024,beetle_553.png,355
A00000050024,beetle_1207.png,355
A00000008981,beetle_525.png,287
A00000008981,beetle_468.png,287
A00000008981,beetle_1166.png,287
A00000008981,beetle_1159.png,287
A00000008981,beetle_526.png,287
A00000051181,beetle_453.png,223
A00000051181,beetle_1244.png,223
A00000051181,beetle_455.png,223
A00000051181,beetle_443.png,223
A00000051181,beetle_1331.png,223
A00000046076,beetle_107.png,246
A00000046076,beetle_40.png,246
A00000046076,beetle_227.png,246
A00000046076,beetle_226.png,246
A00000046076,beetle_224.png,246
A00000046086,beetle_395.png,283
A00000046086,beetle_410.png,283
A00000046086,beetle_97.png,283
A00000046086,beetle_403.png,283
A00000046086,beetle_398.png,283
A00000033571,beetle_503.png,236
A00000033571,beetle_50.png,236
A00000033571,beetle_595.png,236
A00000033571,beetle_479.png,236
A00000033571,beetle_129.png,236
A00000044567,beetle_533.png,274
A00000044567,beetle_539.png,274
A00000044567,beetle_578.png,274
A00000044567,beetle_524.png,274
A00000044567,beetle_580.png,274
A00000051577,beetle_688.png,299
A00000051577,beetle_107.png,299
A00000051577,beetle_675.png,299
A00000051577,beetle_588.png,299
A00000051577,beetle_687.png,299
A00000033638,beetle_441.png,367
A00000033638,beetle_303.png,367
A00000033638,beetle_437.png,367
A00000033638,beetle_253.png,367
A00000033638,beetle_318.png,367
A00000012430,beetle_897.png,244
A00000012430,beetle_401.png,244
A00000012430,beetle_412.png,244
A00000012430,beetle_408.png,244
A00000051600,beetle_395.png,224
A00000051600,beetle_294.png,224
A00000051600,beetle_291.png,224
A00000051600,beetle_193.png,224
A00000051600,beetle_385.png,224
A00000033585,beetle_48.png,358
A00000033585,beetle_50.png,358
A00000033585,beetle_46.png,358
